account,date,year,month,week_num,week_day,test,subject,platform,image,header,footer,interest,behavior,demographic,utm,vert,product,lookalike,audience,budget,spend,impressions,clicks,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,backend_1,backend_2,backend_3,backend_4,backend_5,backend_6,backend_7,backend_8,backend_9,backend_10,event_10_revenue
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,caro_jobs,our_8_wk,start_a,none,look1_e_sibdesign,18+,1.35a,0,0,none,none/look1_e_sibdesign/18+/none,0,3.16,959,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,des_developer,our_8_wk,start_a,none,look1_e_sibeveryone,18+,1.3a,0,0,none,none/look1_e_sibeveryone/18+/none,0,4.14,1015,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,des_developer,our_8_wk,start_a,none,look1_e_sibmarketing,18+,1.15a,0,0,none,none/look1_e_sibmarketing/18+/none,0,2.89,673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,des_developer,our_8_wk,start_a,none,look1_e_sales,18+,1.51a,0,0,none,none/look1_e_sales/18+/none,0,3.1,750,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,des_developer,our_8_wk,start_a,none,look1_e_devstudents,18+,1.39a,0,0,none,none/look1_e_devstudents/18+/none,0,2.81,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,des_developer,our_8_wk,start_a,none,look1_e_sibdesign,18+,1.27a,0,0,none,none/look1_e_sibdesign/18+/none,0,3.16,851,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,group,our_8_wk,start_a,none,look1_e_sibeveryone,18+,1.4a,0,0,none,none/look1_e_sibeveryone/18+/none,0,4.14,892,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,group,our_8_wk,start_a,none,look1_e_sibmarketing,18+,1.16a,0,0,none,none/look1_e_sibmarketing/18+/none,0,3.25,847,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,group,our_8_wk,start_a,none,look1_e_sales,18+,1.52a,0,0,none,none/look1_e_sales/18+/none,0,3.43,489,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,group,our_8_wk,start_a,none,look1_e_devstudents,18+,1.40a,0,0,none,none/look1_e_devstudents/18+/none,0,3.16,1432,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,group,our_8_wk,start_a,none,look1_e_sibdesign,18+,1.28a,0,0,none,none/look1_e_sibdesign/18+/none,0,2.81,1117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,overview,our_8_wk,start_a,none,look1_e_sibeveryone,18+,1.5a,0,0,none,none/look1_e_sibeveryone/18+/none,0,3.73,1466,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,overview,our_8_wk,start_a,none,look1_e_sibmarketing,18+,1.17a,0,0,none,none/look1_e_sibmarketing/18+/none,0,3.25,675,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,overview,our_8_wk,start_a,none,look1_e_sales,18+,1.53a,0,0,none,none/look1_e_sales/18+/none,0,2.76,952,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,overview,our_8_wk,start_a,none,look1_e_devstudents,18+,1.41a,0,0,none,none/look1_e_devstudents/18+/none,0,2.81,1087,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,caro_jobs,our_8_wk,start_a,none,look1_e_devstudents,18+,1.47a,0,0,none,none/look1_e_devstudents/18+/none,0,3.16,961,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,overview,our_8_wk,start_a,none,look1_e_sibdesign,18+,1.29a,0,0,none,none/look1_e_sibdesign/18+/none,0,2.81,899,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,caro_jobs,our_8_wk,start_a,none,look1_e_sales,18+,1.59a,0,0,none,none/look1_e_sales/18+/none,0,3.44,381,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT X,2015-10-28,2015,10,44,2,1,pic,m,caro_jobs,our_8_wk,start_a,none,look1_e_sibeveryone,18+,1.11a,0,0,none,none/look1_e_sibeveryone/18+/none,0,4.14,883,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
